Profit,CurrentTPS,CurrentTokens,TokensUsed,TransactionsUpgraded
1353.50,11000.00,0.00,1000.00,707
1335.50,10822.00,0.00,1000.00,671
1350.50,10990.00,0.00,1000.00,701
1000.00,10822.00,0.00,1000.00,0
1322.50,11000.00,0.00,1000.00,645
1328.00,11000.00,0.00,1000.00,656
1325.50,11001.00,0.00,1000.00,651
1000.00,11004.00,0.00,1000.00,0
1000.00,10959.00,0.00,1000.00,0
1000.00,11138.00,0.00,1000.00,0
1000.00,11135.00,0.00,1000.00,0
1000.00,11176.00,0.00,1000.00,0
1000.00,11000.00,0.00,1000.00,0
1298.00,11141.00,0.00,1000.00,596
1302.50,11173.00,0.00,1000.00,605
1304.00,11000.00,0.00,1000.00,608
1302.50,11015.00,0.00,1000.00,605
1000.00,11041.00,0.00,1000.00,0
1290.00,11004.00,0.00,1000.00,580
1290.50,11015.00,0.00,1000.00,581
1301.50,11171.00,0.00,1000.00,603
1000.00,11171.00,0.00,1000.00,0
1000.00,11173.00,0.00,1000.00,0
1000.00,11304.00,0.00,1000.00,0
1304.00,11138.00,0.00,1000.00,608
1304.50,10879.00,0.00,1000.00,609
1000.00,11040.00,0.00,1000.00,0
1000.00,11042.00,0.00,1000.00,0
1000.00,10993.00,0.00,1000.00,0
1295.00,11043.00,0.00,1000.00,590
1304.00,11045.00,0.00,1000.00,608
1294.00,11006.00,0.00,1000.00,588
1000.00,11006.00,0.00,1000.00,0
1000.00,11126.00,0.00,1000.00,0
1289.50,10996.00,0.00,1000.00,579
1000.00,11163.00,0.00,1000.00,0
1000.00,11161.00,0.00,1000.00,0
1303.50,11000.00,0.00,1000.00,607
1297.00,11007.00,0.00,1000.00,594
1277.00,11009.00,0.00,1000.00,554
1000.00,11016.00,0.00,1000.00,0
1000.00,11125.00,0.00,1000.00,0
1000.00,11036.00,0.00,1000.00,0
1000.00,11005.00,0.00,1000.00,0
1000.00,10970.00,0.00,1000.00,0
1000.00,11000.00,0.00,1000.00,0
1276.50,11000.00,0.00,1000.00,553
1270.50,11151.00,0.00,1000.00,541
1284.00,10975.00,0.00,1000.00,568
1282.50,10749.00,0.00,1000.00,565
1275.50,10848.00,0.00,1000.00,551
1286.50,10848.00,0.00,1000.00,573
1277.00,10840.00,0.00,1000.00,554
1281.00,10972.00,0.00,1000.00,562
1288.50,10800.00,0.00,1000.00,577
1286.00,10847.00,0.00,1000.00,572
1268.00,11025.00,0.00,1000.00,536
1271.00,10827.00,0.00,1000.00,542
1000.00,10693.00,0.00,1000.00,0
1000.00,10972.00,0.00,1000.00,0
1000.00,10961.00,0.00,1000.00,0
1272.50,11138.00,0.00,1000.00,545
1292.00,11009.00,0.00,1000.00,584
1296.50,10837.00,0.00,1000.00,593
1288.00,10682.00,0.00,1000.00,576
1291.00,10883.00,0.00,1000.00,582
1294.00,10842.00,0.00,1000.00,588
1000.00,10841.00,0.00,1000.00,0
1292.50,10961.00,0.00,1000.00,585
1286.50,10961.00,0.00,1000.00,573
1284.00,11000.00,0.00,1000.00,568
1295.50,11161.00,0.00,1000.00,591
1301.00,11000.00,0.00,1000.00,602
1318.00,10797.00,0.00,1000.00,636
1000.00,10958.00,0.00,1000.00,0
1000.00,10958.00,0.00,1000.00,0
1313.00,10958.00,0.00,1000.00,626
1303.50,11000.00,0.00,1000.00,607
1313.50,10877.00,0.00,1000.00,627
1324.50,10960.00,0.00,1000.00,649
1322.00,10793.00,0.00,1000.00,644
1312.50,10833.00,0.00,1000.00,625
1317.50,10833.00,0.00,1000.00,635
1000.00,10839.00,0.00,1000.00,0
1000.00,10758.00,0.00,1000.00,0
1000.00,10958.00,0.00,1000.00,0
1294.00,11121.00,0.00,1000.00,588
1000.00,11000.00,0.00,1000.00,0
1000.00,10803.00,0.00,1000.00,0
1000.00,10956.00,0.00,1000.00,0
1000.00,10960.00,0.00,1000.00,0
1000.00,10961.00,0.00,1000.00,0
1297.50,11000.00,0.00,1000.00,595
1300.00,11117.00,0.00,1000.00,600
1303.00,10953.00,0.00,1000.00,606
1313.50,10992.00,0.00,1000.00,627
