Timestamp,SystemTPS,LeaderId
1777323978825,29753.00,0
1777323978869,29749.00,0
1777323978893,29800.00,0
1777323978937,29800.00,0
1777323978962,29787.00,0
1777323979006,29766.00,0
1777323979031,29833.00,0
1777323979075,29765.00,0
1777323979100,29817.00,0
1777323979124,29832.00,0
1777323979168,29845.00,0
1777323979192,29809.00,0
1777323979237,29729.00,0
1777323979261,29716.00,0
1777323979306,29800.00,0
1777323979330,29800.00,0
1777323979375,29800.00,0
1777323979399,29815.00,0
1777323979424,29815.00,0
1777323979468,29895.00,0
1777323979492,29952.00,0
1777323979537,29872.00,0
1777323979562,29926.00,0
1777323979607,29930.00,0
1777323979631,29997.00,0
1777323979655,29984.00,0
1777323979701,29930.00,0
1777323979725,29997.00,0
1777323979771,29917.00,0
1777323979795,29997.00,0
1777323979820,29979.00,0
1777323979865,29930.00,0
1777323979890,29920.00,0
1777323979936,29921.00,0
1777323979961,29921.00,0
1777323979986,29975.00,0
1777323980031,29908.00,0
1777323980060,29931.00,0
1777323980086,29931.00,0
1777323980134,29913.00,0
1777323980217,29777.00,0
1777323980263,29720.00,0
1777323980310,29720.00,0
1777323980335,29676.00,0
1777323980360,29742.00,0
1777323980406,29663.00,0
1777323980431,29663.00,0
1777323980476,29669.00,0
1777323980501,29682.00,0
1777323980526,29669.00,0
1777323980572,29622.00,0
1777323980597,29622.00,0
1777323980643,29609.00,0
1777323980674,29609.00,0
1777323980699,29647.00,0
1777323980724,29740.00,0
1777323980770,29660.00,0
1777323980796,29680.00,0
1777323980842,29673.00,0
1777323980867,29660.00,0
1777323980892,29673.00,0
1777323980939,29610.00,0
1777323980965,29667.00,0
1777323980991,29667.00,0
1777323981039,29667.00,0
1777323981064,29654.00,0
1777323981092,29644.00,0
1777323981138,29679.00,0
1777323981163,29682.00,0
1777323981188,29736.00,0
1777323981234,29682.00,0
1777323981260,29682.00,0
1777323981306,29669.00,0
1777323981331,29652.00,0
1777323981357,29745.00,0
1777323981404,29662.00,0
1777323981430,29646.00,0
1777323981455,29659.00,0
1777323981500,29672.00,0
1777323981525,29701.00,0
1777323981572,29669.00,0
1777323981598,29688.00,0
1777323981623,29755.00,0
1777323981670,29675.00,0
1777323981695,29662.00,0
1777323981725,29675.00,0
1777323981772,29670.00,0
1777323981799,29656.00,0
1777323981825,29669.00,0
1777323981872,29669.00,0
1777323981898,29669.00,0
1777323981924,29669.00,0
1777323981950,29735.00,0
1777323981997,29735.00,0
1777323982024,29663.00,0
1777323982051,29679.00,0
1777323982099,29663.00,0
1777323982127,29676.00,0
1777323982153,29676.00,0
1777323982200,29613.00,0
1777323982227,29672.00,0
1777323982254,29672.00,0
1777323982302,29659.00,0
1777323982332,29659.00,0
1777323982361,29649.00,0
1777323982388,29657.00,0
1777323982414,29737.00,0
1777323982462,29691.00,0
1777323982489,29704.00,0
1777323982516,29704.00,0
1777323982564,29637.00,0
1777323982591,29675.00,0
1777323982619,29675.00,0
1777323982646,29799.00,0
1777323982695,29732.00,0
